sample_id,source,is_hallucination,D_hat,coh_star,r_LZ,asv_score,text_length,num_tokens,llm_model,n_tokens,r_lz_normalized
fever_143171,fever,True,0.5,0.2647058823529412,0.6458333333333334,0.7372549019607844,528,102,gpt-4-turbo-preview,91,1.0
fever_33277,fever,True,0.5,0.3370786516853932,0.6053370786516854,0.7666666666666666,465,89,gpt-4-turbo-preview,81,1.0
fever_110598,fever,True,0.5,0.2857142857142857,0.7219387755102041,0.7255102040816325,204,49,gpt-4-turbo-preview,36,1.0
fever_2699,fever,False,0.5,0.3333333333333333,0.7453703703703703,0.7061728395061728,116,27,gpt-4-turbo-preview,20,1.0
fever_172493,fever,True,0.5,0.3043478260869565,0.7554347826086957,0.6927536231884057,100,23,gpt-4-turbo-preview,16,1.0
fever_2466,fever,True,0.5,0.3333333333333333,0.6388888888888888,0.7666666666666666,332,81,gpt-4-turbo-preview,57,1.0
fever_115775,fever,True,0.5,0.2391304347826087,0.6304347826086957,0.7159420289855073,206,46,gpt-4-turbo-preview,38,1.0
fever_179327,fever,True,0.5,0.2469135802469135,0.6589506172839507,0.7224279835390947,351,81,gpt-4-turbo-preview,62,1.0
fever_25705,fever,False,0.5,0.3,0.7708333333333334,0.672222222222222,129,30,gpt-4-turbo-preview,23,1.0
fever_119219,fever,True,0.5,0.3243243243243243,0.7195945945945946,0.7405405405405405,162,37,gpt-4-turbo-preview,26,1.0
fever_219052,fever,True,0.5,0.3809523809523809,0.75,0.7,183,42,gpt-4-turbo-preview,30,1.0
fever_65685,fever,True,0.5,0.2857142857142857,0.7723214285714286,0.6583333333333332,126,28,gpt-4-turbo-preview,20,1.0
fever_198016,fever,True,0.5,0.3414634146341463,0.6417682926829268,0.7666666666666666,426,82,gpt-4-turbo-preview,68,1.0
fever_41523,fever,True,0.5,0.2954545454545454,0.6931818181818182,0.7628787878787879,203,44,gpt-4-turbo-preview,39,1.0
fever_16039,fever,True,0.5,0.3129770992366412,0.5257633587786259,0.7666666666666666,729,131,gpt-4-turbo-preview,111,1.0
fever_100572,fever,True,0.5,0.25,0.609375,0.7250000000000001,263,64,gpt-4-turbo-preview,46,1.0
fever_142359,fever,True,0.5,0.36,0.7,0.7666666666666666,236,50,gpt-4-turbo-preview,38,1.0
fever_91336,fever,True,0.5,0.3162393162393162,0.5064102564102564,0.7666666666666666,586,117,gpt-4-turbo-preview,99,1.0
fever_79911,fever,False,0.5,0.2909090909090909,0.6977272727272728,0.759090909090909,255,55,gpt-4-turbo-preview,44,1.0
fever_9504,fever,False,0.5,0.35,0.6895833333333333,0.7666666666666666,262,60,gpt-4-turbo-preview,44,1.0
fever_174025,fever,True,0.5,0.3103448275862069,0.6508620689655172,0.7666666666666666,126,29,gpt-4-turbo-preview,21,1.0
fever_201813,fever,False,0.5,0.3571428571428571,0.6540178571428571,0.7666666666666666,227,56,gpt-4-turbo-preview,36,1.0
fever_104495,fever,False,0.5,0.3040935672514619,0.6140350877192983,0.7666666666666666,729,171,gpt-4-turbo-preview,113,1.0
fever_225301,fever,True,0.5,0.2857142857142857,0.6845238095238095,0.7547619047619047,90,21,gpt-4-turbo-preview,14,1.0
fever_201106,fever,True,0.5,0.2222222222222222,0.5820707070707071,0.7018518518518518,536,99,gpt-4-turbo-preview,86,1.0
fever_46297,fever,True,0.5,0.2407407407407407,0.6944444444444444,0.7172839506172839,281,54,gpt-4-turbo-preview,47,1.0
fever_138593,fever,True,0.5,0.2666666666666666,0.7958333333333333,0.6111111111111112,126,30,gpt-4-turbo-preview,22,1.0
fever_217210,fever,False,0.5,0.3421052631578947,0.6776315789473685,0.7666666666666666,200,38,gpt-4-turbo-preview,30,1.0
fever_139522,fever,False,0.5,0.3,0.66875,0.7666666666666666,285,60,gpt-4-turbo-preview,48,1.0
fever_104847,fever,False,0.5,0.375,0.71484375,0.746875,164,32,gpt-4-turbo-preview,25,1.0
